FSCSKEY,ClusterNumber_Service,ClusterNumber_Staff,ClusterNumber_Finance,ClusterNumber_Collection
IA0399,Small_6,Small_2,Small_1,Small_8
IA0400,Medium_3,Medium_6,Medium_1,Medium_4
IA0401,Small_6,Small_2,Small_1,Small_8
IA0402,Small_6,Small_2,Small_1,Small_3
IA0403,Small_6,Small_2,Small_1,Small_7
IA0404,Large_7,Large_3,Large_3,Large_7
IA0405,Small_4,Small_1,Small_1,Small_8
IA0406,Small_4,Small_1,Small_1,Small_8
IA0407,Medium_3,Medium_6,Medium_1,Medium_4
IA0408,Small_1,Small_3,Small_1,Small_7
IA0409,Small_1,Small_5,Small_5,Small_4
IA0410,Small_2,Small_4,Small_2,Small_3
IA0411,Small_4,Small_4,Small_2,Small_8
IA0412,Small_4,Small_2,Small_1,Small_7
IA0413,Small_1,Small_2,Small_1,Small_3
IA0414,Large_3,Large_2,Large_3,Large_1
IA0416,Medium_8,Medium_6,Medium_1,Medium_4
IA0417,Small_1,Small_4,Small_1,Small_7
IA0418,Small_7,Small_1,Small_5,Small_7
IA0419,Small_4,Small_4,Small_2,Small_8
IA0421,Small_4,Small_2,Small_1,Small_8
IA0422,Small_2,Small_4,Small_2,Small_3
IA0423,Large_1,Large_5,Large_3,Large_7
IA0424,Small_4,Small_6,Small_2,Small_8
IA0425,Medium_4,Medium_6,Medium_3,Medium_7
IA0426,Small_1,Small_2,Small_1,Small_8
IA0427,Medium_4,Medium_1,Medium_4,Medium_7
IA0428,Medium_3,Medium_7,Medium_4,Medium_4
IA0429,Small_4,Small_1,Small_2,Small_3
IA0430,Small_4,Small_2,Small_2,Small_7
IA0431,Medium_6,Medium_5,Medium_4,Medium_4
IA0432,Medium_8,Medium_6,Medium_4,Medium_4
IA0433,Small_4,Small_2,Small_1,Small_8
IA0434,Small_4,Small_4,Small_2,Small_7
IA0435,Medium_3,Medium_7,Medium_4,Medium_4
IA0436,Small_4,Small_4,Small_2,Small_8
IA0437,Small_6,Small_2,Small_1,Small_7
IA0438,Large_3,Large_3,Large_1,Large_1
IA0439,Small_4,Small_2,Small_2,Small_8
IA0440,Small_8,Small_5,Small_5,Small_8
IA0441,Small_4,Small_2,Small_2,Small_8
IA0442,Small_4,Small_4,Small_2,Small_8
IA0443,Small_1,Small_2,Small_1,Small_8
IA0444,Small_6,Small_4,Small_2,Small_8
