FSCSKEY,ClusterNumber_Service,ClusterNumber_Staff,ClusterNumber_Finance,ClusterNumber_Collection
AK0001,Small_1,Small_1,Small_1,Small_1
AK0002,VeryLarge_1,VeryLarge_1,VeryLarge_1,VeryLarge_1
AK0003,Small_2,Small_1,Small_2,Small_2
AK0006,Medium_1,Medium_1,Medium_1,Medium_1
AK0007,Large_1,Large_1,Large_1,Large_1
AK0008,Small_2,Small_2,Small_2,Small_2
AK0016,Small_3,Small_3,Small_3,Small_2
AK0017,Small_3,Small_3,Small_4,Small_1
AK0018,Small_4,Small_4,Small_2,Small_3
AK0019,Small_5,Small_3,Small_4,Small_1
AK0020,Small_5,Small_3,Small_4,Small_4
AK0021,Small_4,Small_1,Small_1,Small_1
AK0023,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_2
AK0025,Small_4,Small_4,Small_2,Small_2
AK0028,Small_6,Small_2,Small_5,Small_1
AK0029,Small_5,Small_3,Small_3,Small_4
AK0030,Small_4,Small_4,Small_1,Small_4
AK0032,Medium_2,Medium_2,Medium_2,Medium_2
AK0035,VeryLarge_2,VeryLarge_3,VeryLarge_2,VeryLarge_3
AK0037,Small_4,Small_4,Small_2,Small_2
AK0038,Medium_3,Medium_2,Medium_2,Medium_2
AK0039,Large_2,Large_2,Large_2,Large_2
AK0040,Large_2,Large_2,Large_2,Large_3
AK0041,Medium_1,Medium_3,Medium_3,Medium_1
AK0044,Small_4,Small_2,Small_1,Small_2
AK0046,Small_4,Small_5,Small_1,Small_2
AK0047,Small_7,Small_3,Small_3,Small_1
AK0048,Small_4,Small_2,Small_5,Small_1
AK0051,Small_1,Small_4,Small_2,Small_1
AK0052,Medium_4,Medium_4,Medium_4,Medium_3
AK0053,Small_4,Small_4,Small_2,Small_3
AK0055,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AK0056,Small_4,Small_1,Small_1,Small_1
AK0057,Medium_3,Medium_1,Medium_4,Medium_2
AK0058,Small_4,Small_4,Small_1,Small_2
AK0061,Small_7,Small_1,Small_1,Small_2
AK0064,Small_4,Small_1,Small_2,Small_1
AK0065,Medium_3,Medium_1,Medium_4,Medium_4
AK0067,Medium_3,Medium_5,Medium_2,Medium_5
AK0068,Small_3,Small_3,Small_4,Small_1
AK0069,Medium_3,Medium_1,Medium_2,Medium_2
AK0070,Medium_4,Medium_3,Medium_4,Medium_1
AK0072,Large_3,Large_1,Large_3,Large_1
AK0073,Small_2,Small_4,Small_2,Small_2
AK0074,Small_4,Small_4,Small_1,Small_2
AK0077,Medium_5,Medium_1,Medium_4,Medium_2
AK0078,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AK0080,Medium_6,Medium_6,Medium_4,Medium_1
AK0081,Small_3,Small_3,Small_4,Small_4
AK0082,Small_4,Small_1,Small_1,Small_3
AK0087,Small_4,Small_4,Small_1,Small_3
AK0091,Small_4,Small_4,Small_2,Small_3
AK0094,Medium_7,Medium_2,Medium_2,Medium_2
AK0095,Small_4,Small_4,Small_5,Small_3
AK0097,Small_7,Small_3,Small_4,Small_3
AK0100,Small_4,Small_4,Small_2,Small_5
AK0101,Small_8,Small_4,Small_1,Small_3
AK0102,Small_4,Small_2,Small_2,Small_2
AK0103,Small_4,Small_1,Small_4,Small_1
AK0104,Small_4,Small_4,Small_2,Small_5
AK0113,Small_1,Small_2,Small_1,Small_5
AK0114,Small_7,Small_4,Small_1,Small_5
AK0115,Medium_3,Medium_1,Medium_2,Medium_2
AK0116,Small_4,Small_4,Small_1,Small_5
AK0123,Small_4,Small_4,Small_2,Small_3
AK0126,Small_4,Small_6,Small_2,Small_2
AK0130,Small_4,Small_6,Small_1,Small_2
AK0135,Small_7,Small_3,Small_1,Small_2
AK0136,Small_4,Small_4,Small_2,Small_3
AK0137,Small_1,Small_5,Small_1,Small_2
AK0139,Small_2,Small_2,Small_1,Small_5
AL0002,Small_1,Small_1,Small_1,Small_2
AL0005,Small_1,Small_3,Small_1,Small_5
AL0006,Medium_4,Medium_6,Medium_3,Medium_3
AL0007,Large_1,Large_3,Large_1,Large_4
AL0009,Small_1,Small_3,Small_1,Small_5
AL0010,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0011,Medium_5,Medium_3,Medium_3,Medium_3
AL0012,Small_1,Small_3,Small_1,Small_2
AL0013,Large_2,Large_4,Large_3,Large_3
AL0014,Medium_3,Medium_1,Medium_1,Medium_1
AL0015,Medium_5,Medium_6,Medium_1,Medium_2
AL0016,Medium_5,Medium_6,Medium_3,Medium_3
AL0017,Small_1,Small_2,Small_2,Small_2
AL0018,Medium_1,Medium_3,Medium_3,Medium_3
AL0019,Large_2,Large_2,Large_3,Large_4
AL0020,Large_4,Large_2,Large_3,Large_3
AL0022,Medium_5,Medium_4,Medium_3,Medium_1
AL0024,Medium_5,Medium_4,Medium_3,Medium_3
AL0025,Medium_4,Medium_1,Medium_1,Medium_3
AL0026,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0029,Medium_1,Medium_3,Medium_3,Medium_3
AL0030,Medium_1,Medium_3,Medium_3,Medium_3
AL0031,Small_7,Small_3,Small_2,Small_2
AL0032,Small_1,Small_2,Small_2,Small_2
AL0033,Medium_1,Medium_3,Medium_3,Medium_3
AL0034,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0035,Large_3,Large_1,Large_1,Large_4
AL0037,Large_4,Large_2,Large_3,Large_4
AL0038,Medium_1,Medium_6,Medium_3,Medium_3
AL0039,Medium_4,Medium_3,Medium_3,Medium_1
AL0040,Medium_5,Medium_6,Medium_3,Medium_3
AL0041,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0042,Medium_4,Medium_3,Medium_1,Medium_3
AL0043,Medium_4,Medium_3,Medium_3,Medium_1
AL0044,Large_3,Large_1,Large_1,Large_4
AL0045,Large_3,Large_1,Large_1,Large_4
AL0046,Medium_1,Medium_3,Medium_3,Medium_3
AL0047,Medium_1,Medium_3,Medium_3,Medium_3
AL0048,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0049,Large_5,Large_2,Large_3,Large_4
AL0050,Medium_1,Medium_4,Medium_3,Medium_3
AL0051,Small_7,Small_1,Small_1,Small_1
AL0052,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0053,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0054,Large_1,Large_1,Large_1,Large_4
AL0055,Small_1,Small_2,Small_1,Small_5
AL0056,Medium_5,Medium_6,Medium_3,Medium_1
AL0057,Medium_3,Medium_1,Medium_4,Medium_1
AL0059,VeryLarge_3,VeryLarge_2,VeryLarge_3,VeryLarge_3
AL0060,Large_3,Large_1,Large_1,Large_4
AL0061,Medium_1,Medium_1,Medium_3,Medium_3
AL0062,Large_6,Large_4,Large_2,Large_5
AL0063,Small_5,Small_6,Small_4,Small_4
AL0064,Large_3,Large_1,Large_1,Large_6
AL0066,Medium_1,Medium_3,Medium_3,Medium_3
AL0067,Small_1,Small_2,Small_2,Small_5
AL0068,Small_1,Small_6,Small_1,Small_2
AL0069,Small_6,Small_2,Small_2,Small_5
AL0070,Large_3,Large_1,Large_1,Large_4
AL0071,Small_1,Small_3,Small_1,Small_2
AL0072,Small_3,Small_3,Small_1,Small_2
AL0073,Medium_1,Medium_3,Medium_3,Medium_3
AL0074,Medium_5,Medium_4,Medium_3,Medium_1
AL0076,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0077,VeryLarge_3,VeryLarge_2,VeryLarge_3,VeryLarge_3
AL0078,Large_3,Large_1,Large_1,Large_4
AL0079,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0080,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0081,Large_7,Large_5,Large_2,Large_3
AL0082,Large_4,Large_5,Large_2,Large_3
AL0083,Large_8,Large_4,Large_2,Large_2
AL0084,Medium_3,Medium_7,Medium_4,Medium_2
AL0085,Small_7,Small_2,Small_1,Small_2
AL0087,Medium_3,Medium_4,Medium_4,Medium_2
AL0088,Large_2,Large_5,Large_3,Large_4
AL0090,Medium_4,Medium_3,Medium_3,Medium_3
AL0091,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0092,Large_4,Large_6,Large_4,Large_2
AL0093,Large_3,Large_3,Large_1,Large_4
AL0094,Medium_6,Medium_4,Medium_4,Medium_1
AL0095,Large_1,Large_3,Large_3,Large_4
AL0096,Small_1,Small_3,Small_5,Small_2
AL0097,VeryLarge_4,VeryLarge_2,VeryLarge_2,VeryLarge_2
AL0098,VeryLarge_4,VeryLarge_4,VeryLarge_2,VeryLarge_2
AL0099,Large_3,Large_2,Large_1,Large_4
AL0100,Large_3,Large_1,Large_3,Large_4
AL0101,Large_4,Large_3,Large_3,Large_4
AL0102,Medium_4,Medium_4,Medium_3,Medium_3
AL0103,Large_3,Large_1,Large_1,Large_4
AL0104,Medium_4,Medium_3,Medium_3,Medium_3
AL0105,Large_6,Large_4,Large_2,Large_3
AL0106,VeryLarge_4,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0107,Medium_4,Medium_6,Medium_3,Medium_3
AL0108,VeryLarge_5,VeryLarge_5,VeryLarge_1,VeryLarge_1
AL0109,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0110,Small_1,Small_3,Small_1,Small_5
AL0111,Small_7,Small_5,Small_1,Small_4
AL0112,Medium_5,Medium_6,Medium_1,Medium_2
AL0114,Large_1,Large_3,Large_1,Large_4
AL0115,Medium_3,Medium_2,Medium_4,Medium_5
AL0116,Small_5,Small_3,Small_4,Small_4
AL0117,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0118,Medium_5,Medium_6,Medium_3,Medium_3
AL0119,Medium_3,Medium_2,Medium_4,Medium_2
AL0121,Medium_3,Medium_7,Medium_4,Medium_1
AL0122,Small_7,Small_5,Small_5,Small_5
AL0123,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0124,Medium_5,Medium_4,Medium_1,Medium_2
AL0125,Medium_2,Medium_4,Medium_4,Medium_2
AL0126,Medium_2,Medium_2,Medium_4,Medium_2
AL0127,Large_1,Large_2,Large_3,Large_3
AL0128,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0129,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0130,Large_1,Large_1,Large_3,Large_4
AL0131,Medium_5,Medium_4,Medium_1,Medium_2
AL0132,Large_1,Large_1,Large_1,Large_3
AL0133,Small_1,Small_2,Small_1,Small_2
AL0134,Medium_6,Medium_6,Medium_1,Medium_1
AL0135,Large_7,Large_7,Large_2,Large_3
AL0136,Small_4,Small_5,Small_2,Small_6
AL0137,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0140,Small_7,Small_3,Small_5,Small_2
AL0141,Small_8,Small_2,Small_1,Small_2
AL0142,Small_7,Small_2,Small_1,Small_2
AL0143,Small_3,Small_2,Small_1,Small_2
AL0144,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0145,Small_1,Small_2,Small_1,Small_2
AL0146,Large_3,Large_1,Large_1,Large_4
AL0147,Large_3,Large_1,Large_1,Large_4
AL0148,Large_1,Large_2,Large_3,Large_4
AL0151,Medium_1,Medium_3,Medium_3,Medium_3
AL0152,Medium_4,Medium_1,Medium_3,Medium_1
AL0154,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0155,Large_2,Large_3,Large_3,Large_4
AL0156,Medium_5,Medium_4,Medium_3,Medium_3
AL0157,Small_1,Small_2,Small_2,Small_5
AL0158,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_2
AL0159,Large_3,Large_1,Large_1,Large_4
AL0160,Medium_1,Medium_6,Medium_3,Medium_1
AL0161,Large_3,Large_1,Large_1,Large_4
AL0162,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0163,Large_3,Large_1,Large_1,Large_3
AL0164,Medium_1,Medium_6,Medium_3,Medium_3
AL0165,Medium_5,Medium_3,Medium_3,Medium_3
AL0166,VeryLarge_6,VeryLarge_4,VeryLarge_2,VeryLarge_1
AL0167,Medium_5,Medium_3,Medium_3,Medium_3
AL0168,Large_1,Large_1,Large_1,Large_4
AL0169,Medium_1,Medium_3,Medium_3,Medium_3
AL0170,Medium_5,Medium_4,Medium_3,Medium_3
AL0171,Medium_5,Medium_6,Medium_1,Medium_6
AL0172,Medium_1,Medium_6,Medium_3,Medium_3
AL0173,Small_1,Small_2,Small_2,Small_2
AL0174,Medium_5,Medium_3,Medium_3,Medium_3
AL0175,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0176,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0177,Medium_8,Medium_1,Medium_1,Medium_3
AL0178,Large_2,Large_1,Large_1,Large_4
AL0179,Medium_4,Medium_3,Medium_3,Medium_3
AL0180,Medium_5,Medium_3,Medium_3,Medium_3
AL0181,Large_4,Large_2,Large_1,Large_4
AL0182,Large_5,Large_2,Large_1,Large_4
AL0184,Large_3,Large_1,Large_1,Large_4
AL0186,VeryLarge_6,VeryLarge_4,VeryLarge_1,VeryLarge_1
AL0187,VeryLarge_6,VeryLarge_1,VeryLarge_2,VeryLarge_2
AL0189,Small_3,Small_2,Small_1,Small_2
AL0190,Small_8,Small_5,Small_5,Small_2
AL0191,Small_1,Small_2,Small_1,Small_2
AL0192,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0193,Large_3,Large_1,Large_1,Large_4
AL0194,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0195,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0196,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_2
AL0197,Large_5,Large_1,Large_1,Large_4
AL0198,Large_1,Large_1,Large_1,Large_4
AL0199,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0200,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AL0203,Medium_4,Medium_1,Medium_3,Medium_3
AL0204,Small_1,Small_2,Small_1,Small_2
AL0206,Medium_1,Medium_1,Medium_3,Medium_3
AL0208,Small_7,Small_1,Small_2,Small_5
AL0209,Large_3,Large_3,Large_3,Large_4
AL0210,Small_1,Small_6,Small_1,Small_2
AL0211,Medium_5,Medium_4,Medium_3,Medium_1
AL0216,Small_4,Small_2,Small_2,Small_2
AL0217,Small_4,Small_2,Small_1,Small_2
AL0218,Small_1,Small_2,Small_1,Small_2
AL0219,Small_4,Small_2,Small_2,Small_5
AL0222,Medium_2,Medium_5,Medium_2,Medium_2
AL0223,Medium_8,Medium_6,Medium_3,Medium_3
AL0225,Small_8,Small_2,Small_5,Small_2
AL0226,Medium_4,Medium_1,Medium_3,Medium_1
AL0227,Small_7,Small_2,Small_2,Small_5
AL0229,Small_1,Small_2,Small_2,Small_2
AL0231,Small_4,Small_6,Small_2,Small_5
AL0238,Small_1,Small_6,Small_1,Small_2
AL0239,Small_7,Small_2,Small_2,Small_2
AL0240,Large_3,Large_1,Large_1,Large_4
AL0241,Medium_1,Medium_1,Medium_3,Medium_3
AL0242,Medium_1,Medium_3,Medium_3,Medium_3
AL0243,Small_8,Small_3,Small_4,Small_4
AL0244,Medium_4,Medium_6,Medium_3,Medium_3
AL0245,Small_4,Small_4,Small_2,Small_2
AL0246,Small_7,Small_2,Small_1,Small_5
AL0247,Small_3,Small_3,Small_1,Small_5
AL0248,Medium_1,Medium_3,Medium_3,Medium_3
AL0249,Small_1,Small_2,Small_2,Small_2
AL0250,Medium_6,Medium_1,Medium_4,Medium_1
AL0251,Medium_1,Medium_3,Medium_3,Medium_3
AL0252,Small_4,Small_6,Small_1,Small_5
AL0253,Small_7,Small_2,Small_1,Small_2
AL0255,Large_3,Large_1,Large_1,Large_4
AL0256,Large_3,Large_1,Large_1,Large_4
AL0257,Small_1,Small_2,Small_1,Small_5
AL8004,Small_7,Small_2,Small_1,Small_5
AL8007,Medium_4,Medium_3,Medium_3,Medium_1
AL8008,Small_7,Small_3,Small_1,Small_1
AL8009,Medium_4,Medium_3,Medium_3,Medium_3
AL8010,Small_4,Small_2,Small_2,Small_5
AL8011,Medium_6,Medium_1,Medium_1,Medium_3
AR0001,VeryLarge_7,VeryLarge_5,VeryLarge_1,VeryLarge_1
AR0002,VeryLarge_1,VeryLarge_2,VeryLarge_2,VeryLarge_1
AR0003,Large_3,Large_1,Large_1,Large_1
AR0004,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0005,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0006,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_3
AR0007,VeryLarge_1,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0008,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_2
AR0009,VeryLarge_1,VeryLarge_2,VeryLarge_2,VeryLarge_2
AR0010,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0012,VeryLarge_1,VeryLarge_3,VeryLarge_2,VeryLarge_3
AR0013,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0014,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0015,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0016,VeryLarge_1,VeryLarge_3,VeryLarge_2,VeryLarge_3
AR0017,VeryLarge_1,VeryLarge_3,VeryLarge_2,VeryLarge_3
AR0019,VeryLarge_1,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0020,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0021,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0023,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0024,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0025,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0026,Large_5,Large_2,Large_3,Large_3
AR0027,Large_5,Large_1,Large_1,Large_4
AR0028,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0030,Large_1,Large_1,Large_3,Large_4
AR0031,Large_5,Large_1,Large_3,Large_4
AR0037,Large_3,Large_1,Large_1,Large_4
AR0038,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_2
AR0039,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0040,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0041,VeryLarge_1,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0042,Large_5,Large_2,Large_3,Large_4
AR0043,Medium_6,Medium_3,Medium_3,Medium_3
AR0044,Large_1,Large_2,Large_3,Large_4
AR0046,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_2
AR0047,VeryLarge_2,VeryLarge_2,VeryLarge_3,VeryLarge_2
AR0048,VeryLarge_1,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0049,VeryLarge_1,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0050,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0051,Medium_4,Medium_1,Medium_3,Medium_1
AR0060,Large_3,Large_3,Large_1,Large_4
AR0061,Medium_6,Medium_6,Medium_1,Medium_7
AR0062,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0063,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0064,Medium_1,Medium_1,Medium_3,Medium_1
AR0066,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_2
AR0068,Small_2,Small_5,Small_5,Small_2
AR0069,Medium_4,Medium_3,Medium_3,Medium_3
AR0070,Medium_4,Medium_4,Medium_1,Medium_7
AR0071,Small_1,Small_2,Small_1,Small_5
AR0076,Large_3,Large_1,Large_5,Large_4
AR0077,Medium_4,Medium_3,Medium_3,Medium_3
AR0078,Small_7,Small_2,Small_1,Small_2
AR0079,Large_2,Large_2,Large_3,Large_4
AR0080,Small_1,Small_4,Small_2,Small_3
AR0081,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AR0082,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
AR0083,Medium_7,Medium_4,Medium_1,Medium_7
AZ0001,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0009,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0025,Medium_1,Medium_3,Medium_3,Medium_7
AZ0026,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0027,Medium_5,Medium_4,Medium_1,Medium_7
AZ0028,VeryLarge_7,VeryLarge_5,VeryLarge_4,VeryLarge_1
AZ0029,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0030,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
AZ0031,VeryLarge_6,VeryLarge_1,VeryLarge_2,VeryLarge_5
AZ0033,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_5
AZ0034,VeryLarge_6,VeryLarge_1,VeryLarge_2,VeryLarge_5
AZ0035,VeryLarge_8,VeryLarge_5,VeryLarge_4,VeryLarge_6
AZ0036,VeryLarge_6,VeryLarge_4,VeryLarge_1,VeryLarge_1
AZ0038,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_3
AZ0039,Medium_8,Medium_4,Medium_4,Medium_7
AZ0040,Medium_6,Medium_3,Medium_3,Medium_4
AZ0042,VeryLarge_6,VeryLarge_2,VeryLarge_2,VeryLarge_7
AZ0048,Large_5,Large_1,Large_1,Large_4
AZ0050,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0064,VeryLarge_7,VeryLarge_6,VeryLarge_4,VeryLarge_1
AZ0065,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_4
AZ0066,Small_3,Small_6,Small_4,Small_4
AZ0067,VeryLarge_1,VeryLarge_2,VeryLarge_3,VeryLarge_7
AZ0082,VeryLarge_1,VeryLarge_4,VeryLarge_2,VeryLarge_2
AZ0084,Small_1,Small_2,Small_1,Small_2
AZ0086,Medium_8,Medium_2,Medium_4,Medium_5
AZ0088,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_5
AZ0092,Medium_5,Medium_3,Medium_3,Medium_7
AZ0100,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
AZ0102,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0103,Medium_4,Medium_4,Medium_4,Medium_7
AZ0104,Medium_8,Medium_3,Medium_1,Medium_2
AZ0106,Medium_4,Medium_3,Medium_3,Medium_7
AZ0107,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0110,Medium_3,Medium_4,Medium_1,Medium_4
AZ0111,Medium_5,Medium_3,Medium_1,Medium_4
AZ0112,Large_2,Large_2,Large_3,Large_1
AZ0113,Small_8,Small_3,Small_4,Small_4
AZ0114,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
AZ0115,Small_1,Small_3,Small_1,Small_1
AZ0116,Medium_4,Medium_4,Medium_1,Medium_4
AZ0117,VeryLarge_1,VeryLarge_3,VeryLarge_3,VeryLarge_5
AZ0118,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_5
AZ0119,Medium_4,Medium_3,Medium_3,Medium_7
AZ0122,Small_1,Small_1,Small_2,Small_5
AZ0123,Medium_9,Medium_1,Medium_1,Medium_7
AZ0124,Medium_4,Medium_1,Medium_1,Medium_7
AZ0125,Small_1,Small_2,Small_4,Small_7
AZ0126,Small_8,Small_3,Small_4,Small_4
AZ0127,Large_2,Large_2,Large_3,Large_3
AZ0128,Small_3,Small_3,Small_4,Small_2
AZ0129,Large_3,Large_1,Large_1,Large_1
AZ0130,Small_3,Small_1,Small_1,Small_1
AZ0131,Small_4,Small_3,Small_1,Small_2
AZ0133,Large_1,Large_1,Large_3,Large_1
AZ0134,Large_1,Large_1,Large_3,Large_4
AZ0135,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0136,Small_7,Small_5,Small_4,Small_1
AZ0137,Small_8,Small_1,Small_1,Small_1
AZ0138,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0141,Medium_5,Medium_3,Medium_3,Medium_1
AZ0145,Large_1,Large_5,Large_3,Large_1
AZ0146,Large_1,Large_2,Large_1,Large_4
AZ0147,Medium_1,Medium_3,Medium_3,Medium_1
AZ0150,Large_6,Large_2,Large_2,Large_2
AZ0152,Small_1,Small_3,Small_1,Small_1
AZ0154,VeryLarge_4,VeryLarge_3,VeryLarge_3,VeryLarge_3
AZ0155,Large_6,Large_7,Large_2,Large_2
AZ0158,VeryLarge_4,VeryLarge_2,VeryLarge_3,VeryLarge_3
AZ0160,Medium_1,Medium_1,Medium_1,Medium_5
AZ0161,Medium_3,Medium_6,Medium_4,Medium_1
AZ0162,Large_2,Large_2,Large_3,Large_4
AZ0163,Large_3,Large_1,Large_1,Large_4
AZ0164,Medium_1,Medium_1,Medium_1,Medium_1
AZ0165,Small_7,Small_3,Small_4,Small_4
AZ0167,Medium_2,Medium_2,Medium_4,Medium_5
AZ0168,Medium_1,Medium_3,Medium_1,Medium_7
AZ0169,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_7
AZ0173,Small_1,Small_6,Small_1,Small_3
AZ0174,Small_1,Small_2,Small_1,Small_3
AZ0175,Small_7,Small_3,Small_5,Small_3
AZ0176,Medium_4,Medium_1,Medium_1,Medium_7
AZ0177,Large_3,Large_1,Large_1,Large_1
AZ0178,Small_1,Small_3,Small_4,Small_3
AZ0179,Medium_5,Medium_4,Medium_3,Medium_7
AZ0180,Small_4,Small_4,Small_2,Small_3
AZ0181,Medium_1,Medium_4,Medium_3,Medium_8
AZ0182,Small_8,Small_7,Small_3,Small_7
AZ0183,Small_4,Small_3,Small_2,Small_3
AZ0184,Small_6,Small_3,Small_5,Small_3
CA0001,VeryLarge_7,VeryLarge_5,VeryLarge_4,VeryLarge_1
CA0002,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_3
CA0003,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_4
CA0004,Small_3,Small_6,Small_4,Small_4
CA0005,VeryLarge_2,VeryLarge_3,VeryLarge_2,VeryLarge_4
CA0006,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
CA0007,VeryLarge_6,VeryLarge_1,VeryLarge_2,VeryLarge_7
CA0008,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_4
CA0009,VeryLarge_1,VeryLarge_2,VeryLarge_2,VeryLarge_7
CA0010,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
CA0011,VeryLarge_5,VeryLarge_4,VeryLarge_1,VeryLarge_7
CA0012,VeryLarge_1,VeryLarge_1,VeryLarge_1,VeryLarge_7
CA0013,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
CA0014,VeryLarge_3,VeryLarge_3,VeryLarge_2,VeryLarge_4
CA0015,VeryLarge_1,VeryLarge_4,VeryLarge_2,VeryLarge_7
CA0016,VeryLarge_4,VeryLarge_1,VeryLarge_2,VeryLarge_7
